customer_id,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
C191659,626,2,99.31,30.15,44.44,13.67,1.24,Lost Customers
C191665,540,1,1200.32,41.54,14.65,48.18,1.89,Low Value Customers
C191690,404,2,286.72,65.71,44.44,24.33,1.81,Low Value Customers
C191696,345,2,626.31,78.99,44.44,35.33,2.22,Low Value Customers
C191708,727,2,2100.56,20.11,44.44,70.42,2.78,Low Value Customers
C191738,797,1,1500.4,14.39,14.65,57.94,1.96,Low Value Customers
C191744,626,1,1500.4,30.15,14.65,57.94,2.08,Low Value Customers
C191759,816,2,1800.48,13.05,44.44,65.35,2.58,Low Value Customers
C191773,474,2,900.25,52.1,44.44,41.79,2.2,Low Value Customers
C191780,731,5,6037.5,19.7,95.22,97.22,4.25,High value Customer
C191786,526,1,600.16,43.61,14.65,32.63,1.46,Lost Customers
C191789,567,3,267.42,37.58,70.4,23.94,1.95,Low Value Customers
C191799,292,4,6907.57,87.91,86.98,98.49,4.68,Top Customers
C191801,378,4,1966.68,71.24,86.98,69.07,3.72,Medium Value Customer
C191806,541,2,128.24,41.39,44.44,16.12,1.39,Lost Customers
C191813,278,2,1103.54,91.99,44.44,46.24,2.63,Low Value Customers
C191838,449,4,403.59,56.59,86.98,29.65,2.49,Low Value Customers
C191852,62,3,3000.82,98.56,70.4,81.19,4.04,High value Customer
C191856,597,2,1065.69,33.7,44.44,45.7,2.18,Low Value Customers
C191863,361,3,4553.62,75.2,70.4,92.9,4.2,High value Customer
C191867,530,2,626.31,42.96,44.44,35.33,1.95,Low Value Customers
C191871,359,1,600.16,75.69,14.65,32.63,1.7,Low Value Customers
C191874,749,1,203.3,18.14,14.65,21.5,0.95,Lost Customers
C191880,708,2,910.7,21.84,44.44,42.07,1.99,Low Value Customers
C191881,713,2,80.64,21.38,44.44,11.94,1.12,Lost Customers
C191883,521,1,600.17,44.35,14.65,33.99,1.51,Lost Customers
C191886,303,4,1546.31,87.36,86.98,61.35,3.62,Medium Value Customer
C191887,662,2,1541.06,26.36,44.44,61.11,2.56,Low Value Customers
C191895,311,4,362.57,85.24,86.98,28.76,2.68,Low Value Customers
C191910,479,1,143.36,51.2,14.65,16.99,1.07,Lost Customers
C191914,810,1,1500.4,13.49,14.65,57.94,1.96,Low Value Customers
C191932,276,1,3000.85,92.56,14.65,81.7,3.23,Medium Value Customer
C191938,824,1,1200.32,12.54,14.65,48.18,1.67,Low Value Customers
C191941,735,1,20.92,19.32,14.65,3.72,0.46,Lost Customers
C191943,454,1,5.23,55.7,14.65,0.45,0.64,Lost Customers
C191944,830,3,366.89,12.12,70.4,28.86,1.9,Low Value Customers
C191945,610,2,371.76,32.15,44.44,28.97,1.69,Low Value Customers
C191956,582,1,15.69,35.64,14.65,2.79,0.55,Lost Customers
C191958,274,5,3891.88,93.1,95.22,88.93,4.57,Top Customers
C191989,310,2,1500.4,85.51,44.44,56.6,2.88,Low Value Customers
C191991,530,2,2522.66,42.96,44.44,77.15,3.14,Medium Value Customer
C192010,385,1,300.08,69.71,14.65,25.49,1.45,Lost Customers
C192016,602,1,600.16,33.1,14.65,32.63,1.38,Lost Customers
C192022,279,4,1368.19,91.67,86.98,55.11,3.48,Medium Value Customer
C192029,377,7,2543.17,71.44,99.53,77.24,4.13,High value Customer
C192031,913,1,3000.85,7.08,14.65,81.7,2.59,Low Value Customers
C192044,689,2,1505.63,23.63,44.44,59.44,2.49,Low Value Customers
C192048,92,5,2589.16,97.94,95.22,77.73,4.28,High value Customer
C192050,477,3,2876.66,51.55,70.4,80.42,3.66,Medium Value Customer
C192059,600,1,600.17,33.33,14.65,33.99,1.42,Lost Customers
C192068,707,2,310.54,21.93,44.44,26.86,1.55,Lost Customers
C192079,736,3,992.84,19.22,70.4,44.28,2.39,Low Value Customers
C192095,347,6,2128.5,78.5,98.47,71.67,4.01,High value Customer
C192117,767,5,2785.52,16.62,95.22,79.93,3.74,Medium Value Customer
C192144,616,3,1505.63,31.37,70.4,59.34,2.91,Low Value Customers
C192147,415,4,2822.7,63.37,86.98,80.08,3.98,Medium Value Customer
C192152,530,2,1500.4,42.96,44.44,56.6,2.56,Low Value Customers
C192156,439,5,1502.93,58.51,95.22,59.32,3.46,Medium Value Customer
C192163,362,2,1500.4,74.95,44.44,57.94,2.84,Low Value Customers
C192169,571,1,3000.85,37.06,14.65,81.7,2.81,Low Value Customers
C192171,447,2,3027.0,57.01,44.44,82.53,3.4,Medium Value Customer
C192176,523,2,326.23,44.05,44.44,27.75,1.74,Low Value Customers
C192180,382,3,1816.17,70.39,70.4,66.85,3.42,Medium Value Customer
C192195,392,1,20.92,68.19,14.65,3.72,0.82,Lost Customers
C192197,486,2,1200.32,49.96,44.44,48.18,2.37,Low Value Customers
C192203,874,1,600.16,9.35,14.65,32.63,1.21,Lost Customers
C192204,666,4,1652.68,25.95,86.98,63.42,3.22,Medium Value Customer
C192208,724,2,162.64,20.35,44.44,18.45,1.3,Lost Customers
C192211,475,1,121.98,51.91,14.65,15.47,1.04,Lost Customers
C192216,182,1,15.69,95.86,14.65,2.79,1.0,Lost Customers
C192223,523,2,5285.84,44.05,44.44,95.18,3.67,Medium Value Customer
C192228,527,3,1583.16,43.46,70.4,62.3,3.09,Medium Value Customer
C192232,463,2,2003.81,54.08,44.44,69.43,3.01,Medium Value Customer
C192236,372,4,2800.03,72.54,86.98,80.0,4.04,High value Customer
C192238,490,1,58.65,49.3,14.65,9.69,0.85,Lost Customers
C192247,545,2,3901.08,40.77,44.44,89.14,3.47,Medium Value Customer
C192263,455,1,203.3,55.53,14.65,21.5,1.23,Lost Customers
C192277,387,2,4275.75,69.26,44.44,91.56,3.75,Medium Value Customer
C192278,347,3,2424.1,78.5,70.4,75.75,3.73,Medium Value Customer
C192290,274,2,56.35,93.1,44.44,9.42,1.59,Lost Customers
C192294,361,3,200.12,75.2,70.4,20.88,2.14,Low Value Customers
C192300,871,2,39.15,9.52,44.44,7.08,0.9,Lost Customers
C192312,1026,2,647.09,1.62,44.44,36.2,1.67,Low Value Customers
C192315,345,2,3047.77,78.99,44.44,82.88,3.58,Medium Value Customer
C192319,501,1,1500.4,47.53,14.65,57.94,2.21,Low Value Customers
C192320,504,4,3316.59,47.03,86.98,85.86,4.02,High value Customer
C192327,689,2,4050.24,23.63,44.44,89.86,3.36,Medium Value Customer
C192329,214,3,2279.76,94.65,70.4,73.25,3.78,Medium Value Customer
C192331,335,2,900.24,81.44,44.44,40.55,2.39,Low Value Customers
C192332,182,3,291.08,95.86,70.4,24.39,2.4,Low Value Customers
C192335,321,4,3463.54,82.68,86.98,86.85,4.31,High value Customer
C192344,622,1,121.98,30.57,14.65,15.47,0.88,Lost Customers
C192357,994,1,1800.51,3.01,14.65,66.2,2.11,Low Value Customers
C192359,591,2,335.92,34.45,44.44,28.05,1.68,Low Value Customers
C192362,1058,1,300.08,0.26,14.65,25.49,0.93,Lost Customers
C192364,824,1,1200.32,12.54,14.65,48.18,1.67,Low Value Customers
C192369,0,1,81.32,100.0,14.65,12.44,1.31,Lost Customers
C192374,154,4,1574.22,96.19,86.98,61.97,3.71,Medium Value Customer
C192377,520,1,300.08,44.53,14.65,25.49,1.27,Lost Customers
C192380,276,5,2645.78,92.56,95.22,78.08,4.25,High value Customer
C192387,278,2,239.14,91.99,44.44,23.24,1.97,Low Value Customers
C192394,895,1,46.92,8.13,14.65,8.8,0.52,Lost Customers
C192403,443,3,2563.28,57.78,70.4,77.45,3.63,Medium Value Customer
C192409,540,3,1587.77,41.54,70.4,62.36,3.07,Medium Value Customer
C192413,1030,2,198.48,1.47,44.44,20.82,1.23,Lost Customers
C192427,433,4,1404.44,59.66,86.98,55.82,3.26,Medium Value Customer
C192430,417,1,40.66,62.89,14.65,7.57,0.89,Lost Customers
C192436,355,2,2100.56,76.64,44.44,70.42,3.2,Medium Value Customer
C192438,430,3,1523.86,60.26,70.4,60.33,3.16,Medium Value Customer
C192446,320,3,2747.64,82.94,70.4,79.62,3.88,Medium Value Customer
C192462,486,1,600.16,49.96,14.65,32.63,1.51,Lost Customers
C192474,542,2,621.08,41.24,44.44,35.05,1.93,Low Value Customers
C192479,307,2,626.32,86.3,44.44,35.44,2.28,Low Value Customers
C192489,381,3,2502.92,70.61,70.4,76.92,3.71,Medium Value Customer
C192498,404,1,600.16,65.71,14.65,32.63,1.63,Low Value Customers
C192511,562,2,1950.24,38.29,44.44,68.85,2.87,Low Value Customers
C192513,381,5,2108.15,70.61,95.22,71.17,3.89,Medium Value Customer
C192515,307,2,3300.92,86.3,44.44,85.58,3.71,Medium Value Customer
C192526,121,4,2223.77,97.64,86.98,72.77,4.02,High value Customer
C192527,468,3,167.87,53.18,70.4,19.18,1.93,Low Value Customers
C192530,214,4,3636.85,94.65,86.98,88.0,4.44,High value Customer
C192539,473,3,1542.16,52.28,70.4,61.23,3.12,Medium Value Customer
C192541,372,1,600.17,72.54,14.65,33.99,1.72,Low Value Customers
C192553,569,2,5412.64,37.32,44.44,95.82,3.63,Medium Value Customer
C192557,712,2,381.4,21.48,44.44,29.23,1.62,Low Value Customers
C192559,482,2,1800.48,50.66,44.44,65.35,2.86,Low Value Customers
C192560,517,2,26.15,45.04,44.44,4.94,1.1,Lost Customers
C192575,405,3,1812.22,65.48,70.4,66.75,3.38,Medium Value Customer
C192581,624,1,26.15,30.37,14.65,4.94,0.57,Lost Customers
C192603,383,2,3901.09,70.18,44.44,89.25,3.69,Medium Value Customer
C192621,748,1,15.69,18.23,14.65,2.79,0.42,Lost Customers
C192623,551,2,335.92,39.82,44.44,28.05,1.72,Low Value Customers
C192624,522,2,658.81,44.2,44.44,36.4,1.99,Low Value Customers
C192632,410,4,877.2,64.44,86.98,39.28,2.82,Low Value Customers
C192636,407,2,1526.55,65.02,44.44,60.53,2.84,Low Value Customers
C192637,291,3,4622.06,88.21,70.4,93.04,4.3,High value Customer
C192648,397,4,5401.49,67.09,86.98,95.68,4.45,High value Customer
C192667,588,2,3000.84,34.85,44.44,81.35,3.2,Medium Value Customer
C192674,395,2,1236.16,67.53,44.44,51.9,2.61,Low Value Customers
C192680,685,4,6156.03,24.01,86.98,97.43,4.17,High value Customer
C192683,548,3,1591.3,40.27,70.4,62.39,3.07,Medium Value Customer
C192712,358,1,1500.4,75.92,14.65,57.94,2.43,Low Value Customers
C192723,244,4,289.61,93.69,86.98,24.37,2.62,Low Value Customers
C192725,289,5,3093.42,88.77,95.22,83.34,4.37,High value Customer
C192765,213,2,3180.05,94.95,44.44,84.42,3.74,Medium Value Customer
C192775,891,1,162.64,8.36,14.65,18.45,0.79,Lost Customers
C192783,362,2,1200.32,74.95,44.44,48.18,2.56,Low Value Customers
C192800,704,2,803.46,22.2,44.44,38.75,1.89,Low Value Customers
C192806,951,1,300.08,5.11,14.65,25.49,0.97,Lost Customers
C192810,559,5,5271.49,38.73,95.22,95.09,4.33,High value Customer
C192814,428,5,3616.11,60.6,95.22,87.83,4.29,High value Customer
C192819,651,2,645.61,27.52,44.44,36.08,1.86,Low Value Customers
C192824,447,1,20.92,57.01,14.65,3.72,0.74,Lost Customers
C192828,420,1,20.92,62.26,14.65,3.72,0.78,Lost Customers
C192839,337,3,2122.19,80.92,70.4,71.51,3.63,Medium Value Customer
C192843,982,1,900.24,3.52,14.65,40.55,1.39,Lost Customers
C192844,276,1,3150.0,92.56,14.65,83.87,3.29,Medium Value Customer
C192847,770,2,22.19,16.34,44.44,4.19,0.86,Lost Customers
C192850,576,2,3300.32,36.42,44.44,85.19,3.32,Medium Value Customer
C192869,345,2,900.24,78.99,44.44,40.55,2.37,Low Value Customers
C192871,452,2,611.89,56.06,44.44,34.67,2.03,Low Value Customers
C192874,850,2,148.13,10.82,44.44,17.4,1.2,Lost Customers
C192895,964,1,900.24,4.44,14.65,40.55,1.39,Lost Customers
C192901,368,2,208.53,73.47,44.44,22.16,1.8,Low Value Customers
C192905,586,5,2732.16,35.14,95.22,79.47,3.86,Medium Value Customer
C192918,305,2,803.46,86.83,44.44,38.75,2.38,Low Value Customers
C192927,654,2,2400.67,27.18,44.44,74.61,2.95,Low Value Customers
C192931,525,1,600.17,43.77,14.65,33.99,1.5,Lost Customers
C192952,439,3,82.99,58.51,70.4,12.96,1.79,Low Value Customers
C192969,543,1,300.08,41.09,14.65,25.49,1.24,Lost Customers
C192971,408,4,931.62,64.82,86.98,42.9,2.93,Low Value Customers
C192972,419,2,330.38,62.47,44.44,27.89,1.89,Low Value Customers
C192978,284,3,1836.34,90.19,70.4,67.37,3.58,Medium Value Customer
C192983,244,3,967.05,93.69,70.4,43.76,2.94,Low Value Customers
C192993,802,1,20.92,14.06,14.65,3.72,0.42,Lost Customers
C193006,829,3,3901.07,12.19,70.4,89.06,3.62,Medium Value Customer
C193008,723,2,2279.2,20.43,44.44,73.22,2.86,Low Value Customers
C193011,279,5,4116.12,91.67,95.22,90.14,4.59,Top Customers
C193015,542,2,2100.56,41.24,44.44,70.42,2.94,Low Value Customers
C193021,397,5,2544.23,67.09,95.22,77.31,4.04,High value Customer
C193026,691,2,20.92,23.41,44.44,3.72,0.9,Lost Customers
C193028,1054,1,40.66,0.4,14.65,7.57,0.42,Lost Customers
C193030,346,2,56.35,78.74,44.44,9.42,1.48,Lost Customers
C193031,504,3,148.13,47.03,70.4,17.4,1.83,Low Value Customers
C193044,607,2,4050.24,32.51,44.44,89.86,3.43,Medium Value Customer
C193048,521,4,393.3,44.35,86.98,29.55,2.39,Low Value Customers
C193054,836,2,1200.32,11.72,44.44,48.18,2.08,Low Value Customers
C193055,842,2,381.4,11.32,44.44,29.23,1.54,Lost Customers
C193056,759,1,1500.4,17.28,14.65,57.94,1.99,Low Value Customers
C193063,462,1,5.23,54.27,14.65,0.45,0.62,Lost Customers
C193069,780,1,300.08,15.56,14.65,25.49,1.05,Lost Customers
C193094,508,3,884.78,46.43,70.4,39.3,2.45,Low Value Customers
C193103,644,1,46.92,28.28,14.65,8.8,0.67,Lost Customers
C193112,614,2,900.24,31.63,44.44,40.55,2.01,Low Value Customers
C193115,274,2,1505.63,93.1,44.44,59.44,3.01,Medium Value Customer
C193129,427,4,1229.01,60.81,86.98,51.61,3.14,Medium Value Customer
C193130,657,3,1378.11,26.84,70.4,55.2,2.76,Low Value Customers
C193150,602,2,371.76,33.1,44.44,28.97,1.7,Low Value Customers
C193164,860,2,3000.83,10.28,44.44,81.25,3.01,Medium Value Customer
C193168,425,3,208.53,61.28,70.4,22.13,2.08,Low Value Customers
C193170,697,3,844.12,22.81,70.4,39.12,2.27,Low Value Customers
C193171,830,1,600.16,12.12,14.65,32.63,1.23,Lost Customers
C193172,153,2,2476.43,96.51,44.44,76.67,3.53,Medium Value Customer
C193182,481,4,2814.2,50.85,86.98,80.04,3.88,Medium Value Customer
C193210,362,2,1221.24,74.95,44.44,51.11,2.64,Low Value Customers
C193221,520,2,940.9,44.53,44.44,43.22,2.19,Low Value Customers
C193263,291,3,3172.19,88.21,70.4,84.35,4.05,High value Customer
C193264,334,2,762.8,81.72,44.44,38.18,2.32,Low Value Customers
C193272,387,4,3713.36,69.26,86.98,88.36,4.26,High value Customer
C193274,291,5,2848.9,88.21,95.22,80.25,4.28,High value Customer
C193277,662,1,26.15,26.36,14.65,4.94,0.54,Lost Customers
C193283,340,5,606.46,80.21,95.22,34.45,2.92,Low Value Customers
C193291,278,6,4699.03,91.99,98.47,93.31,4.73,Top Customers
C193298,876,2,224.22,9.23,44.44,22.74,1.34,Lost Customers
C193308,567,1,900.24,37.58,14.65,40.55,1.64,Low Value Customers
C193310,542,3,1541.07,41.24,70.4,61.18,3.04,Medium Value Customer
C193315,393,3,2481.96,67.94,70.4,76.73,3.68,Medium Value Customer
C193334,716,1,5250.0,21.13,14.65,94.79,3.06,Medium Value Customer
C193338,516,3,2573.86,45.19,70.4,77.59,3.54,Medium Value Customer
C193342,591,2,930.54,34.45,44.44,42.88,2.1,Low Value Customers
C193343,405,2,1322.3,65.48,44.44,54.19,2.66,Low Value Customers
C193352,390,5,4236.05,68.61,95.22,91.3,4.45,High value Customer
C193367,317,2,915.93,83.74,44.44,42.35,2.46,Low Value Customers
C193377,380,2,1322.32,70.81,44.44,54.29,2.7,Low Value Customers
C193380,1037,1,1200.32,1.15,14.65,48.18,1.59,Lost Customers
C193386,387,3,2497.69,69.26,70.4,76.88,3.7,Medium Value Customer
C193387,635,3,1526.55,29.14,70.4,60.44,2.93,Low Value Customers
C193390,628,2,803.46,29.95,44.44,38.75,1.95,Low Value Customers
C193391,491,2,1622.38,49.14,44.44,62.89,2.78,Low Value Customers
C193396,872,1,600.16,9.47,14.65,32.63,1.21,Lost Customers
C193399,152,5,1947.66,96.78,95.22,68.79,4.02,High value Customer
C193402,531,2,779.36,42.83,44.44,38.44,2.04,Low Value Customers
C193415,552,2,803.46,39.65,44.44,38.75,2.02,Low Value Customers
C193423,610,3,6750.4,32.15,70.4,98.28,4.03,High value Customer
C193424,480,2,1530.7,51.04,44.44,60.66,2.73,Low Value Customers
C193425,521,2,326.23,44.35,44.44,27.75,1.75,Low Value Customers
C193426,447,2,621.08,57.01,44.44,35.05,2.05,Low Value Customers
C193427,183,4,2264.84,95.56,86.98,73.14,4.02,High value Customer
C193436,454,2,4379.2,55.7,44.44,92.0,3.66,Medium Value Customer
C193441,488,8,4507.09,49.64,99.88,92.65,4.41,High value Customer
C193442,320,4,1913.23,82.94,86.98,68.45,3.79,Medium Value Customer
C193449,277,5,3544.4,92.28,95.22,87.15,4.51,Top Customers
C193454,674,2,137.67,25.16,44.44,16.45,1.28,Lost Customers
C193481,1008,1,15.69,2.37,14.65,2.79,0.3,Lost Customers
C193497,307,1,162.64,86.3,14.65,18.45,1.38,Lost Customers
C193498,504,2,1062.88,47.03,44.44,45.59,2.27,Low Value Customers
C193510,695,3,1537.01,23.0,70.4,60.95,2.9,Low Value Customers
C193517,562,2,152.28,38.29,44.44,17.58,1.41,Lost Customers
C193525,977,1,75.75,3.75,14.65,11.58,0.56,Lost Customers
C193527,555,4,592.33,39.26,86.98,31.53,2.41,Low Value Customers
C193544,680,2,52.15,24.55,44.44,9.22,1.07,Lost Customers
C193566,390,2,305.31,68.61,44.44,26.65,1.9,Low Value Customers
C193586,278,5,4917.32,91.99,95.22,93.95,4.7,Top Customers
C193592,479,3,64.76,51.2,70.4,10.37,1.66,Low Value Customers
C193599,61,3,3206.2,98.85,70.4,84.71,4.14,High value Customer
C193601,287,3,3016.49,89.32,70.4,82.26,4.0,Medium Value Customer
C193616,457,2,3901.08,55.16,44.44,89.14,3.58,Medium Value Customer
C193620,791,1,300.08,14.77,14.65,25.49,1.04,Lost Customers
C193622,653,2,636.0,27.27,44.44,35.7,1.84,Low Value Customers
C193624,424,5,7666.94,61.49,95.22,99.09,4.62,Top Customers
C193641,414,2,132.28,63.61,44.44,16.23,1.56,Lost Customers
C193644,596,3,798.64,33.82,70.4,38.64,2.34,Low Value Customers
C193663,383,1,121.98,70.18,14.65,15.47,1.17,Lost Customers
C193673,343,2,1362.98,79.5,44.44,55.04,2.79,Low Value Customers
C193682,287,3,1547.47,89.32,70.4,61.44,3.41,Medium Value Customer
C193689,369,1,162.64,73.22,14.65,18.45,1.28,Lost Customers
C193694,336,3,3893.53,81.17,70.4,88.93,4.13,High value Customer
C193704,740,3,1096.3,18.85,70.4,46.1,2.44,Low Value Customers
C193717,621,1,26.15,30.69,14.65,4.94,0.58,Lost Customers
C193724,774,4,2015.52,16.03,86.98,69.49,3.32,Medium Value Customer
C193734,925,1,1200.32,6.42,14.65,48.18,1.63,Low Value Customers
C193735,538,2,5453.3,41.81,44.44,95.97,3.67,Medium Value Customer
C193737,537,2,151.5,41.95,44.44,17.56,1.44,Lost Customers
C193740,526,1,300.08,43.61,14.65,25.49,1.26,Lost Customers
C193743,516,5,2019.03,45.19,95.22,69.51,3.65,Medium Value Customer
C193745,483,4,2153.54,50.47,86.98,72.1,3.65,Medium Value Customer
C193754,345,6,4872.31,78.99,98.47,93.86,4.65,Top Customers
C193757,678,1,5.23,24.76,14.65,0.45,0.4,Lost Customers
C193759,1056,1,300.08,0.32,14.65,25.49,0.93,Lost Customers
C193764,522,3,1226.47,44.2,70.4,51.45,2.78,Low Value Customers
C193778,376,2,3000.83,71.68,44.44,81.25,3.48,Medium Value Customer
C193787,1019,1,1500.4,1.89,14.65,57.94,1.87,Low Value Customers
C193791,305,2,1200.32,86.83,44.44,48.18,2.65,Low Value Customers
C193793,310,3,923.7,85.51,70.4,42.62,2.84,Low Value Customers
C193795,749,2,2100.56,18.14,44.44,70.42,2.77,Low Value Customers
C193803,335,3,2111.02,81.44,70.4,71.22,3.63,Medium Value Customer
C193813,438,3,1749.15,58.71,70.4,64.72,3.27,Medium Value Customer
C193814,770,1,23.46,16.34,14.65,4.33,0.45,Lost Customers
C193821,426,3,2400.66,61.04,70.4,74.5,3.57,Medium Value Customer
C193824,1016,1,1200.32,2.03,14.65,48.18,1.59,Lost Customers
C193832,357,3,631.54,76.17,70.4,35.57,2.57,Low Value Customers
C193834,472,4,2105.8,52.46,86.98,71.14,3.64,Medium Value Customer
C193841,683,1,1200.32,24.22,14.65,48.18,1.76,Low Value Customers
C193849,574,1,1200.32,36.66,14.65,48.18,1.85,Low Value Customers
C193853,784,1,35.84,15.29,14.65,6.63,0.51,Lost Customers
C193858,274,4,1841.16,93.1,86.98,67.48,3.84,Medium Value Customer
C193866,183,1,600.16,95.56,14.65,32.63,1.85,Low Value Customers
C193875,348,2,1200.32,78.25,44.44,48.18,2.58,Low Value Customers
C193893,284,1,1500.4,90.19,14.65,57.94,2.53,Low Value Customers
C193896,551,2,202.01,39.82,44.44,20.92,1.52,Lost Customers
C193919,354,4,3503.63,76.85,86.98,87.04,4.27,High value Customer
C193922,601,4,2776.49,33.21,86.98,79.83,3.74,Medium Value Customer
C193926,477,3,1859.16,51.55,70.4,67.79,3.3,Medium Value Customer
C193932,831,1,1200.34,12.05,14.65,49.84,1.72,Low Value Customers
C193933,513,2,82.76,45.65,44.44,12.95,1.33,Lost Customers
C193953,808,2,1545.85,13.65,44.44,61.3,2.47,Low Value Customers
C193955,600,2,5276.15,33.33,44.44,95.13,3.58,Medium Value Customer
C193957,879,2,1241.0,9.06,44.44,52.27,2.18,Low Value Customers
C193962,623,3,1007.77,30.47,70.4,44.49,2.48,Low Value Customers
C193964,447,2,1800.48,57.01,44.44,65.35,2.91,Low Value Customers
C193977,275,5,2483.08,92.83,95.22,76.82,4.22,High value Customer
C193989,873,1,1500.4,9.41,14.65,57.94,1.93,Low Value Customers
C193993,507,2,2171.68,46.56,44.44,72.24,3.03,Medium Value Customer
C193996,376,6,4402.94,71.68,98.47,92.08,4.54,Top Customers
C194015,1052,1,3000.85,0.49,14.65,81.7,2.54,Low Value Customers
C194019,638,1,71.68,28.82,14.65,11.01,0.74,Lost Customers
C194036,587,3,2400.64,34.99,70.4,73.98,3.36,Medium Value Customer
C194046,636,1,81.32,29.02,14.65,12.44,0.78,Lost Customers
C194053,367,1,10.46,73.7,14.65,1.35,0.8,Lost Customers
C194057,333,3,5415.47,81.96,70.4,95.83,4.33,High value Customer
C194061,291,3,234.68,88.21,70.4,23.12,2.31,Low Value Customers
C194063,397,3,784.18,67.09,70.4,38.53,2.59,Low Value Customers
C194073,471,1,300.08,52.65,14.65,25.49,1.33,Lost Customers
C194075,609,3,2146.01,32.27,70.4,72.01,3.28,Medium Value Customer
C194080,91,2,2416.37,98.26,44.44,75.57,3.51,Medium Value Customer
C194082,288,3,808.69,89.05,70.4,38.86,2.76,Low Value Customers
C194084,1032,1,35.84,1.4,14.65,6.63,0.4,Lost Customers
C194086,388,3,4871.84,69.04,70.4,93.86,4.18,High value Customer
C194090,546,5,2613.16,40.6,95.22,77.93,3.86,Medium Value Customer
C194095,551,5,1532.06,39.82,95.22,60.72,3.36,Medium Value Customer
C194107,379,2,1062.88,71.02,44.44,45.59,2.45,Low Value Customers
C194112,561,2,503.38,38.43,44.44,31.02,1.79,Low Value Customers
C194115,184,3,1236.93,95.26,70.4,52.01,3.18,Medium Value Customer
C194128,281,3,4104.38,91.08,70.4,90.09,4.24,High value Customer
C194130,884,1,30.3,8.77,14.65,5.64,0.43,Lost Customers
C194131,834,2,1521.32,11.85,44.44,60.21,2.43,Low Value Customers
C194144,617,2,4650.4,31.24,44.44,93.14,3.51,Medium Value Customer
C194154,665,1,4200.0,26.07,14.65,90.42,2.98,Low Value Customers
C194165,485,3,4623.23,50.13,70.4,93.05,4.01,High value Customer
C194170,505,4,5100.8,46.87,86.98,94.31,4.26,High value Customer
C194174,482,2,707.68,50.66,44.44,37.37,2.07,Low Value Customers
C194181,385,1,900.24,69.71,14.65,40.55,1.88,Low Value Customers
C194192,515,1,1500.4,45.34,14.65,57.94,2.2,Low Value Customers
C194194,1021,1,2400.68,1.81,14.65,74.95,2.35,Low Value Customers
C194201,439,5,2481.99,58.51,95.22,76.76,3.96,Medium Value Customer
C194205,1065,1,900.24,0.02,14.65,40.55,1.36,Lost Customers
C194208,390,1,1200.34,68.61,14.65,49.84,2.14,Low Value Customers
C194209,403,2,132.44,65.92,44.44,16.28,1.58,Lost Customers
C194214,394,2,1505.63,67.72,44.44,59.44,2.82,Low Value Customers
C194241,430,4,1729.9,60.26,86.98,64.61,3.51,Medium Value Customer
C194255,668,2,1215.47,25.74,44.44,50.74,2.26,Low Value Customers
C194257,313,2,1403.62,84.75,44.44,55.67,2.84,Low Value Customers
C194258,1,3,305.35,99.7,70.4,26.69,2.49,Low Value Customers
C194263,986,1,600.16,3.35,14.65,32.63,1.16,Lost Customers
C194266,336,3,3329.2,81.17,70.4,86.04,4.05,High value Customer
C194268,344,2,1500.4,79.25,44.44,56.6,2.83,Low Value Customers
C194270,916,1,900.24,6.89,14.65,40.55,1.41,Lost Customers
C194274,283,2,148.13,90.49,44.44,17.4,1.8,Low Value Customers
C194283,482,1,179.2,50.66,14.65,19.82,1.15,Lost Customers
C194286,604,1,1500.4,32.87,14.65,57.94,2.1,Low Value Customers
C194292,92,4,2904.05,97.94,86.98,80.59,4.25,High value Customer
C194296,741,1,1200.34,18.77,14.65,49.84,1.77,Low Value Customers
C194297,400,3,3150.59,66.53,70.4,84.06,3.88,Medium Value Customer
C194305,622,2,1223.8,30.57,44.44,51.32,2.31,Low Value Customers
C194306,532,2,243.96,42.69,44.44,23.43,1.61,Low Value Customers
C194311,568,1,35.19,37.46,14.65,6.16,0.66,Lost Customers
C194314,334,3,2741.4,81.72,70.4,79.56,3.87,Medium Value Customer
C194325,377,2,265.34,71.44,44.44,23.88,1.84,Low Value Customers
C194326,341,4,2834.46,79.99,86.98,80.16,4.1,High value Customer
C194327,1046,1,15.15,0.74,14.65,2.25,0.27,Lost Customers
C194328,336,3,662.77,81.17,70.4,36.55,2.64,Low Value Customers
C194330,288,4,1928.92,89.05,86.98,68.63,3.84,Medium Value Customer
C194334,844,2,2700.72,11.2,44.44,78.54,2.94,Low Value Customers
C194336,584,1,1500.4,35.41,14.65,57.94,2.12,Low Value Customers
C194347,712,1,162.64,21.48,14.65,18.45,0.89,Lost Customers
C194351,781,1,35.19,15.49,14.65,6.16,0.5,Lost Customers
C194356,997,1,10.46,2.84,14.65,1.35,0.26,Lost Customers
C194363,708,1,1200.34,21.84,14.65,49.84,1.79,Low Value Customers
C194386,333,1,900.24,81.96,14.65,40.55,1.98,Low Value Customers
C194388,274,5,3231.9,93.1,95.22,84.87,4.45,High value Customer
C194390,888,3,2305.35,8.54,70.4,73.49,3.14,Medium Value Customer
C194393,521,2,4800.17,44.35,44.44,93.5,3.62,Medium Value Customer
C194396,758,4,163.56,17.36,86.98,18.99,1.89,Low Value Customers
